;;;;;;; $316,07 
Name;Price;Qt;;;Link;;Total
Rasberry pi; $68,88 ;1;;;Mouser;;€ 68,88
Stepper Motor; $8,33 ;1;;;Aliexpress;;€ 8,33
Motor Drivers; $4,69 ;1;;;Aliexpress;;€ 4,69
Power supply; $10,68 ;1;;;Amazon;;€ 10,68
Wires; $2,36 ;1;;;Aliexpress;;€ 2,36
T nut for 2020; $3,76 ;1;;;Aliexpress;;€ 3,76
Heat inserts M2,5; $2,33 ;1;;;Aliexpress;;€ 2,33
M3 screws; $8,10 ;1;;;Amazon;;€ 8,10
MGR15 1000mm; $54,39 ;1;;;Aliexpress;;€ 54,39
MGR15 450mm; $31,41 ;2;;;Aliexpress;;€ 62,82
heat inserts M3; $2,10 ;1;;;Aliexpress;;€ 2,10
Magnets; $3,49 ;2;;;Aliexpress;;€ 6,98
2020 profile; $20,42 ;1;;;Amazon;;€ 20,42
Micro sd; $12,74 ;1;;;Amazon;;€ 12,74
Smooth pulleys; $2,07 ;2;;;Aliexpress;;€ 4,14
Idler pulleys; $2,06 ;6;;;Aliexpress;;€ 12,36
Shipping; $-   ;1;;;Amazon;;€ 0,00
Timing belt; $6,94 ;2;;;Aliexpress;;€ 13,88
Limit Switches; $3,12 ;1;;;Aliexpress;;€ 3,12
Stepper pulley; $1,36 ;2;;;Aliexpress;;€ 2,72
M3 standoffs; $3,21 ;1;;;Aliexpress;;€ 3,21
M2.5 standoffs; $2,69 ;1;;;Aliexpress;;€ 2,69
Soldering iron tips for heat inserts; $5,37 ;1;;;Aliexpress;;€ 5,37
Cable ties; $1,90 ;1;;;Aliexpress;;€ 1,90
